FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000077	+0	+1	-4	+2	+0	+1	+2	+0	+0	+0	+0	+2	+1	+0	+1	+1	-1	+0	+2	-5	+0
OG0000078	+13	-8	-1	+0	+7	+0	+2	-4	+4	-6	+0	+3	+0	+1	+3	+0	+0	-1	+1	-3	+0
OG0000081	+1	+0	+0	-1	+2	+1	+0	+0	+8	-1	+0	+0	-1	+6	-2	+0	+12	-2	+0	+0	+0
OG0000082	+0	+0	-2	+0	-2	+2	+1	-2	+0	+3	+0	-1	-1	+6	-1	+2	-2	+0	+0	-2	+0
OG0000083	-1	+1	-1	+1	-1	+0	+3	+0	+0	-1	+0	+0	+1	-1	-2	+0	+69	-9	-2	+5	+0
OG0000085	+0	+0	+0	+3	+0	+1	-8	+4	+1	+0	+0	+0	+0	+3	-5	+3	+2	-2	+0	+0	+0
OG0000086	+0	+0	+1	-1	+0	-1	+3	+0	+0	+0	-3	+1	+1	-3	+0	+0	+0	+2	-1	+0	+0
OG0000088	-1	+1	-5	+11	-1	+0	+0	+1	+0	-1	-1	+0	+1	-2	-1	-1	+52	-9	-1	+4	+0
OG0000089	-1	+9	-1	+0	-2	+2	+4	-5	+0	+0	+5	-1	+0	+0	+1	+0	-2	+0	+1	-3	+0
OG0000090	-1	+0	+0	+0	-1	+0	+1	-1	+0	-1	+0	+0	+0	+0	-1	+0	+80	-10	-3	+6	+0
OG0000094	-7	+5	-3	+1	+2	+0	+1	+0	+1	+0	+1	-1	+0	+0	+0	+2	-2	+0	+1	-3	+0
OG0000097	-3	+0	+3	-5	+2	+0	+4	+0	+0	-4	-1	+1	+2	+0	+0	+1	-1	+0	+1	-3	+0
OG0000098	+0	+0	-3	+6	+0	-1	+6	+1	+0	-1	+1	-1	+6	-2	-1	+1	-2	+0	+0	-2	+0
