FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000062	16	20	5	7	26	18	0	5	18	15	1	0	5	15	1	6	4	1	3	3	3
OG0000064	9	9	8	8	8	9	11	8	8	8	8	8	8	8	8	8	4	11	8	8	8
OG0000066	1	7	12	10	8	7	16	11	7	4	7	7	11	7	7	8	3	12	8	8	8
OG0000068	2	5	11	4	10	5	15	10	6	2	8	10	10	6	9	9	1	18	9	9	9
OG0000069	14	16	1	3	12	14	6	3	13	15	4	3	5	13	4	6	0	2	4	2	4
OG0000071	16	9	1	0	8	10	41	1	10	12	2	2	8	10	2	8	0	2	3	2	3
OG0000072	4	2	0	0	14	4	49	0	4	0	3	3	4	4	3	4	2	0	3	2	3
OG0000073	15	0	0	16	2	6	10	8	6	8	4	2	8	7	4	7	17	0	7	7	7
OG0000075	2	0	13	10	9	2	24	12	4	0	10	9	12	4	9	8	1	3	8	3	7
OG0000076	0	0	1	3	0	0	0	1	0	0	1	3	1	0	2	1	95	0	2	9	4
OG0000077	1	0	10	17	8	1	10	11	5	4	8	7	10	5	8	8	5	11	8	8	8
OG0000079	10	6	12	23	10	8	4	13	8	6	5	5	7	7	5	7	5	5	6	5	6
OG0000081	3	7	10	8	9	7	12	9	7	3	6	6	9	7	7	8	4	18	8	8	8
OG0000082	4	4	12	21	5	4	20	14	5	4	5	3	14	5	4	6	1	3	5	3	5
OG0000083	10	9	6	12	9	9	12	10	9	9	9	11	10	9	9	9	0	1	9	1	7
OG0000084	4	4	9	7	5	4	11	8	5	4	5	8	8	5	8	8	8	10	8	8	8
OG0000086	7	17	0	1	4	8	12	1	7	8	13	6	7	7	8	7	0	3	7	3	6
OG0000087	14	12	1	5	11	12	12	5	12	15	3	4	8	12	4	8	0	1	5	1	4
OG0000089	4	1	13	13	4	4	12	13	4	2	4	5	11	4	5	6	5	11	6	6	6
OG0000090	0	2	2	4	0	1	6	3	1	0	0	0	3	1	0	3	75	0	3	8	4
OG0000091	5	20	0	0	33	13	2	0	13	5	0	0	2	6	0	2	0	1	1	1	1
OG0000092	1	2	1	16	0	1	4	4	1	0	2	3	4	1	3	4	60	0	4	7	5
OG0000095	5	6	9	14	5	5	9	10	5	5	6	6	9	5	6	7	5	9	7	7	7
OG0000097	2	14	5	9	11	9	9	8	9	8	8	5	8	9	7	8	0	2	7	2	6
OG0000100	0	0	0	82	0	0	4	6	0	0	0	0	4	0	0	1	1	0	1	1	1
OG0000101	1	1	2	1	31	1	2	2	11	18	1	2	2	11	2	3	0	2	2	2	2
OG0000102	0	1	0	0	0	1	2	0	1	0	0	0	1	1	0	1	88	0	1	7	3
OG0000103	2	4	4	4	6	4	12	4	5	2	13	11	7	5	11	7	1	18	9	9	9
OG0000106	2	3	4	7	15	3	10	6	5	2	10	7	6	5	7	6	0	3	6	3	5
OG0000107	5	8	13	5	10	8	14	10	8	4	6	8	10	8	7	8	2	3	7	3	6
OG0000110	7	6	7	7	7	7	6	7	7	5	8	8	7	7	8	7	8	6	7	7	7
OG0000111	6	6	6	2	7	6	11	6	6	3	7	7	7	6	7	7	0	19	7	7	7
OG0000113	0	0	0	17	0	0	31	11	0	0	6	1	11	0	5	5	13	0	5	5	5
OG0000114	5	7	6	4	8	7	8	6	7	5	6	5	7	7	6	7	7	8	7	7	7
OG0000116	4	7	2	3	9	7	9	3	8	8	11	12	7	8	11	8	1	7	8	6	7
OG0000117	6	7	9	8	7	7	0	8	7	7	8	9	7	7	8	7	4	9	7	7	7
OG0000120	6	4	12	12	8	6	8	12	6	3	4	4	8	6	4	6	2	9	6	6	6
OG0000121	12	10	1	11	6	10	7	7	8	8	4	5	7	8	5	7	0	3	6	3	5
OG0000122	7	7	7	6	8	7	3	6	7	7	6	6	6	7	6	6	7	8	6	7	6
OG0000123	5	2	0	7	0	2	17	5	1	0	0	0	5	1	0	2	0	4	2	2	2
OG0000125	3	3	9	4	5	3	12	8	4	0	8	12	8	4	9	7	3	11	8	8	8
OG0000128	5	6	3	4	8	6	9	4	6	3	11	9	6	6	9	6	2	5	6	5	6
OG0000129	8	7	3	6	7	7	11	6	7	3	10	11	7	7	10	7	0	2	7	2	6
OG0000132	10	10	4	8	10	10	7	7	10	9	1	1	7	9	1	7	0	2	3	2	3
OG0000133	8	8	9	11	8	8	1	9	8	8	6	6	7	8	6	7	1	6	6	6	6
OG0000135	5	6	1	0	5	5	3	1	5	6	0	1	3	5	1	4	45	4	4	8	5
OG0000137	2	3	7	3	6	3	15	7	4	1	7	7	7	4	7	7	3	7	7	6	7
OG0000138	6	7	3	0	8	7	7	3	7	5	7	7	6	7	7	7	7	7	7	7	7
OG0000139	6	6	6	6	6	6	7	6	6	5	6	6	6	6	6	6	6	6	6	6	6
OG0000141	4	0	7	6	6	4	10	7	6	6	5	5	7	6	5	6	2	7	6	6	6
OG0000144	1	4	14	9	4	4	10	10	4	2	4	4	9	4	4	5	1	14	5	5	5
OG0000145	7	6	1	6	6	6	8	6	6	7	5	8	6	6	6	6	3	6	6	6	6
OG0000148	7	7	6	6	6	7	3	6	7	7	5	5	6	7	5	6	7	7	6	7	6
OG0000149	6	6	6	6	6	6	2	6	6	6	6	6	6	6	6	6	10	7	6	8	7
OG0000151	6	4	3	5	5	5	7	5	5	12	2	2	5	6	2	5	20	3	5	7	6
OG0000152	4	5	6	8	5	5	5	6	5	2	8	8	6	5	8	6	0	15	7	7	7
OG0000153	1	3	6	7	3	3	12	7	3	2	7	9	7	3	7	7	0	15	7	7	7
