#FamilyID	pvalue	Significant at 0.05
OG0000444	0.051	n
OG0000445	0	y
OG0000446	0	y
OG0000447	0.005	y
OG0000448	0.004	y
OG0000449	0.002	y
OG0000450	0	y
OG0000451	0.172	n
OG0000453	0.011	y
OG0000454	0.503	n
OG0000455	0.002	y
OG0000456	0.383	n
OG0000457	0.014	y
OG0000458	0.142	n
OG0000459	0	y
OG0000464	0.005	y
OG0000467	0.804	n
OG0000469	0	y
OG0000471	0.218	n
OG0000472	0	y
OG0000473	0	y
OG0000474	0	y
OG0000475	0	y
OG0000477	0	y
OG0000478	0.567	n
OG0000479	0.023	y
OG0000480	0.003	y
OG0000481	0.138	n
OG0000482	0.88	n
OG0000483	0.006	y
OG0000484	0	y
OG0000485	0.028	y
OG0000486	0.905	n
OG0000487	0.011	y
OG0000488	0.003	y
OG0000489	0.099	n
OG0000492	0.005	y
OG0000493	0.024	y
OG0000494	0.667	n
OG0000495	0.014	y
OG0000496	0.051	n
OG0000497	0	y
OG0000498	0.276	n
OG0000499	0.315	n
OG0000500	0.818	n
OG0000503	0.015	y
OG0000506	0	y
OG0000509	0.999	n
OG0000510	0.957	n
OG0000511	0.417	n
OG0000512	0.243	n
OG0000513	0.598	n
OG0000515	0	y
OG0000516	0	y
OG0000519	0.004	y
OG0000521	0.001	y
OG0000522	0	y
OG0000524	0.698	n
OG0000527	0.051	n
OG0000528	0	y
OG0000531	0.172	n
OG0000532	0.811	n
OG0000533	0.004	y
OG0000534	0.537	n
OG0000536	0.764	n
OG0000537	0	y
OG0000538	0.074	n
OG0000540	0.971	n
OG0000541	0.261	n
OG0000542	0.014	y
OG0000543	0	y
OG0000544	0.356	n
OG0000546	0.813	n
OG0000547	0.079	n
OG0000548	0.037	y
OG0000549	0.842	n
OG0000550	0.002	y
OG0000551	0.622	n
OG0000552	0.999	n
OG0000553	0.999	n
OG0000555	0.202	n
OG0000556	0.11	n
OG0000557	0.004	y
OG0000558	0.582	n
OG0000560	0.018	y
OG0000561	0	y
OG0000562	0.954	n
OG0000563	0	y
OG0000564	0.421	n
OG0000566	0	y
OG0000568	0	y
OG0000569	0.004	y
OG0000570	0.442	n
OG0000571	0.017	y
OG0000572	0.74	n
OG0000574	0.12	n
OG0000575	0.471	n
OG0000576	0.211	n
OG0000577	0.359	n
OG0000578	0.005	y
OG0000580	0.002	y
OG0000582	0	y
OG0000585	0	y
OG0000590	0.014	y
OG0000591	0.488	n
OG0000593	0	y
OG0000594	0.816	n
OG0000595	0.543	n
OG0000596	0.233	n
OG0000597	0.201	n
OG0000598	0.992	n
OG0000599	0.326	n
OG0000600	0.308	n
OG0000601	0.402	n
OG0000604	0.023	y
OG0000606	0.376	n
OG0000608	0.02	y
OG0000609	0.014	y
OG0000610	0.002	y
OG0000611	0.969	n
OG0000612	0.015	y
OG0000613	0	y
OG0000615	0	y
OG0000616	0	y
OG0000621	0.034	y
OG0000625	0.185	n
OG0000626	0.012	y
OG0000627	0.164	n
OG0000628	0.271	n
OG0000629	0.666	n
OG0000630	0.142	n
OG0000631	0.628	n
OG0000632	0.251	n
OG0000633	0.985	n
OG0000634	0.601	n
OG0000635	0.008	y
OG0000636	0.005	y
OG0000638	0	y
OG0000639	0.118	n
OG0000641	0.32	n
OG0000642	0.067	n
OG0000643	0.439	n
OG0000644	0.274	n
OG0000645	0	y
OG0000648	0.004	y
OG0000649	0.006	y
OG0000655	0.914	n
OG0000656	0.031	y
OG0000657	0.003	y
OG0000658	0	y
OG0000659	0.456	n
OG0000661	0.386	n
OG0000662	0.683	n
OG0000663	0.005	y
OG0000664	0.057	n
OG0000665	0.051	n
OG0000666	0.002	y
OG0000667	0.135	n
OG0000668	0.083	n
OG0000670	0.003	y
OG0000671	0.062	n
OG0000672	0.475	n
OG0000673	0.144	n
OG0000674	0.075	n
OG0000676	0.022	y
OG0000677	0	y
OG0000679	0.025	y
OG0000680	0.077	n
OG0000683	0	y
OG0000686	0.004	y
OG0000690	0	y
OG0000693	0	y
OG0000694	0.226	n
OG0000695	0.938	n
OG0000696	0.529	n
OG0000697	0.219	n
OG0000700	0.924	n
OG0000701	0.967	n
OG0000702	0.129	n
OG0000703	0.719	n
OG0000704	0.899	n
OG0000706	0.001	y
OG0000708	0.001	y
OG0000709	0.631	n
OG0000710	0.007	y
OG0000711	0.846	n
OG0000712	0.086	n
OG0000713	0.554	n
OG0000714	0.901	n
OG0000715	0.51	n
OG0000716	0.088	n
OG0000717	0.017	y
OG0000719	0.003	y
OG0000728	0.161	n
OG0000729	0.051	n
OG0000730	0.001	y
OG0000731	0.572	n
OG0000732	0.784	n
OG0000734	0.164	n
OG0000735	0.164	n
OG0000736	0.148	n
OG0000737	0.796	n
OG0000738	0.345	n
OG0000739	0.138	n
OG0000740	0.062	n
OG0000741	0.906	n
OG0000742	0.766	n
OG0000743	0.912	n
OG0000744	0.726	n
OG0000745	0.003	y
OG0000746	0.444	n
OG0000747	0.376	n
OG0000748	0.028	y
OG0000749	0.868	n
OG0000750	0.012	y
OG0000751	0.065	n
OG0000752	0	y
OG0000753	0.575	n
OG0000754	0.004	y
OG0000755	0.122	n
OG0000756	0.094	n
OG0000757	0	y
OG0000758	0.12	n
OG0000762	0	y
OG0000765	0.11	n
OG0000766	0	y
OG0000767	0.098	n
OG0000769	0.057	n
OG0000770	0.565	n
OG0000771	0.002	y
OG0000772	0	y
OG0000773	0.152	n
OG0000774	0.091	n
OG0000775	0.066	n
OG0000776	0	y
OG0000777	0.002	y
OG0000778	0.245	n
OG0000779	0.907	n
OG0000780	0.691	n
OG0000781	0.545	n
OG0000782	0.389	n
OG0000783	0.159	n
OG0000785	0.002	y
OG0000786	0.209	n
OG0000787	0.722	n
OG0000788	0.979	n
OG0000789	0.349	n
OG0000790	0	y
OG0000791	0.141	n
OG0000792	0.993	n
OG0000793	0.067	n
OG0000794	0.223	n
OG0000795	0.222	n
OG0000796	0.863	n
OG0000797	0	y
OG0000798	0.027	y
OG0000799	0.005	y
OG0000800	0.594	n
OG0000801	0.917	n
OG0000802	0.076	n
OG0000803	0.03	y
OG0000804	0.051	n
OG0000805	0	y
OG0000807	0	y
OG0000810	0	y
OG0000820	0.014	y
OG0000821	0.117	n
OG0000822	0.6	n
OG0000823	0.513	n
OG0000824	0.361	n
OG0000825	0.253	n
OG0000826	0.846	n
OG0000827	0.011	y
OG0000828	0.005	y
OG0000829	0.407	n
OG0000830	0.212	n
OG0000831	0.372	n
OG0000832	0.005	y
OG0000833	0.971	n
OG0000834	0.29	n
OG0000835	0.398	n
OG0000836	0.037	y
OG0000837	0.191	n
OG0000838	0.941	n
OG0000839	0.015	y
OG0000840	0.329	n
OG0000841	0.017	y
OG0000842	0.254	n
OG0000843	0	y
OG0000845	0.098	n
OG0000846	0.785	n
OG0000847	0.162	n
OG0000849	0.629	n
OG0000850	0	y
OG0000851	0.467	n
OG0000852	0.581	n
OG0000853	0.002	y
OG0000854	0.222	n
OG0000855	0.23	n
OG0000857	0.012	y
OG0000858	0.724	n
OG0000859	0.47	n
OG0000861	0.177	n
OG0000863	0	y
OG0000865	0.358	n
OG0000867	0	y
OG0000869	0	y
OG0000876	0.406	n
OG0000877	0.314	n
OG0000878	0.858	n
OG0000879	0.742	n
OG0000880	0.268	n
OG0000881	0.999	n
OG0000882	0.309	n
OG0000883	0.416	n
OG0000884	0.923	n
OG0000885	0.834	n
OG0000886	0.014	y
OG0000887	0.345	n
OG0000888	0.01	y
OG0000889	0.893	n
OG0000890	0.026	y
OG0000891	0.103	n
OG0000892	0.914	n
OG0000893	0.366	n
OG0000894	0.037	y
OG0000895	0.003	y
OG0000896	0.018	y
OG0000897	0.766	n
OG0000898	0.355	n
OG0000899	0.548	n
OG0000900	0	y
OG0000901	0.788	n
OG0000902	0.203	n
OG0000904	0.951	n
OG0000905	0.291	n
OG0000906	0.169	n
OG0000907	0.16	n
OG0000908	0.964	n
OG0000909	0.902	n
OG0000910	0	y
OG0000911	0.206	n
OG0000912	0.905	n
OG0000913	0.155	n
OG0000914	0.572	n
OG0000915	0.218	n
OG0000916	0.028	y
OG0000917	0.278	n
OG0000921	0	y
OG0000925	0.02	y
OG0000927	0	y
OG0000932	0.581	n
OG0000933	0.98	n
OG0000934	0.011	y
OG0000936	0.801	n
OG0000937	0.02	y
OG0000938	0.999	n
OG0000939	0.061	n
OG0000943	0.002	y
OG0000944	0.969	n
OG0000945	0.992	n
OG0000946	0.038	y
OG0000947	0.978	n
OG0000948	0.977	n
OG0000949	0.964	n
OG0000950	0.025	y
OG0000951	0.999	n
OG0000952	0.057	n
OG0000953	0.173	n
OG0000954	0.256	n
OG0000955	0.965	n
OG0000956	0.638	n
OG0000957	0.977	n
