#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0002115	1.96187	5.10402e-10	5.10445e-10	0.999916	*
OG0002116	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002116	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002117	0.0381341	3.16551e-11	1.07671e-08	0.00293997	N/S
OG0002117	1.96187	1.07355e-08	1.07671e-08	0.99706	*
OG0002119	0.0381341	1.64657e-16	1.88863e-09	8.71834e-08	N/S
OG0002119	1.96187	1.88863e-09	1.88863e-09	1	*
OG0002120	0.0381341	2.44753e-12	2.59651e-09	0.000942625	N/S
OG0002120	1.96187	2.59406e-09	2.59651e-09	0.999057	*
OG0002121	0.0381341	1.54118e-10	1.24504e-08	0.0123785	N/S
OG0002121	1.96187	1.22963e-08	1.24504e-08	0.987621	*
OG0002122	0.0381341	6.93006e-08	4.36369e-07	0.158812	N/S
OG0002122	1.96187	3.67069e-07	4.36369e-07	0.841188	N/S
OG0002123	0.0381341	2.94763e-13	1.28479e-09	0.000229425	N/S
OG0002123	1.96187	1.2845e-09	1.28479e-09	0.999771	*
OG0002125	0.0381341	7.38599e-08	5.81536e-07	0.127008	N/S
OG0002125	1.96187	5.07676e-07	5.81536e-07	0.872992	N/S
OG0002127	0.0381341	8.17574e-19	6.10308e-11	1.33961e-08	N/S
OG0002127	1.96187	6.10308e-11	6.10308e-11	1	*
OG0002128	0.0381341	2.30098e-11	1.444e-08	0.00159348	N/S
OG0002128	1.96187	1.4417e-08	1.444e-08	0.998407	*
OG0002129	0.0381341	1.42437e-10	1.6243e-08	0.00876913	N/S
OG0002129	1.96187	1.61006e-08	1.6243e-08	0.991231	*
OG0002130	0.0381341	1.28872e-10	5.46279e-08	0.00235909	N/S
OG0002130	1.96187	5.4499e-08	5.46279e-08	0.997641	*
OG0002131	0.0381341	3.16754e-11	1.24471e-09	0.025448	N/S
OG0002131	1.96187	1.21304e-09	1.24471e-09	0.974552	*
OG0002132	0.0381341	3.59808e-10	1.80061e-08	0.0199825	N/S
OG0002132	1.96187	1.76463e-08	1.80061e-08	0.980017	*
OG0002133	0.0381341	1.72671e-11	2.31655e-08	0.00074538	N/S
OG0002133	1.96187	2.31482e-08	2.31655e-08	0.999255	*
OG0002135	0.0381341	4.4747e-17	4.75074e-09	9.41894e-09	N/S
OG0002135	1.96187	4.75074e-09	4.75074e-09	1	*
OG0002136	0.0381341	5.11062e-18	1.60631e-10	3.18159e-08	N/S
OG0002136	1.96187	1.60631e-10	1.60631e-10	1	*
OG0002137	0.0381341	1.79101e-16	3.23421e-09	5.53772e-08	N/S
OG0002137	1.96187	3.23421e-09	3.23421e-09	1	*
OG0002140	0.0381341	8.69463e-08	8.61307e-07	0.100947	N/S
OG0002140	1.96187	7.74361e-07	8.61307e-07	0.899053	N/S
OG0002141	0.0381341	5.17244e-18	3.2091e-11	1.61181e-07	N/S
OG0002141	1.96187	3.2091e-11	3.2091e-11	1	*
OG0002142	0.0381341	5.42061e-10	5.32306e-08	0.0101833	N/S
OG0002142	1.96187	5.26885e-08	5.32306e-08	0.989817	*
OG0002143	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002143	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002144	0.0381341	8.6306e-09	5.94244e-08	0.145237	N/S
OG0002144	1.96187	5.07938e-08	5.94244e-08	0.854763	N/S
OG0002145	0.0381341	6.87304e-10	2.78624e-08	0.0246678	N/S
OG0002145	1.96187	2.71751e-08	2.78624e-08	0.975332	*
OG0002146	0.0381341	2.99349e-11	1.45848e-07	0.000205248	N/S
OG0002146	1.96187	1.45818e-07	1.45848e-07	0.999795	*
OG0002147	0.0381341	7.95783e-08	7.70932e-07	0.103224	N/S
OG0002147	1.96187	6.91354e-07	7.70932e-07	0.896776	N/S
OG0002149	0.0381341	8.6306e-09	5.94244e-08	0.145237	N/S
OG0002149	1.96187	5.07938e-08	5.94244e-08	0.854763	N/S
OG0002150	0.0381341	2.52128e-14	3.10319e-10	8.12478e-05	N/S
OG0002150	1.96187	3.10294e-10	3.10319e-10	0.999919	*
OG0002151	0.0381341	3.20193e-09	4.04169e-07	0.00792226	N/S
OG0002151	1.96187	4.00967e-07	4.04169e-07	0.992078	*
OG0002152	0.0381341	3.65563e-10	1.66974e-08	0.0218934	N/S
OG0002152	1.96187	1.63318e-08	1.66974e-08	0.978107	*
OG0002153	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002153	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002154	0.0381341	4.74276e-20	3.90554e-11	1.21437e-09	N/S
OG0002154	1.96187	3.90554e-11	3.90554e-11	1	*
OG0002155	0.0381341	5.10982e-07	8.83542e-07	0.578334	N/S
OG0002155	1.96187	3.72559e-07	8.83542e-07	0.421666	N/S
OG0002156	0.0381341	2.40526e-08	2.09597e-07	0.114756	N/S
OG0002156	1.96187	1.85544e-07	2.09597e-07	0.885244	N/S
OG0002157	0.0381341	2.69229e-11	1.27721e-08	0.00210794	N/S
OG0002157	1.96187	1.27452e-08	1.27721e-08	0.997892	*
OG0002158	0.0381341	7.64564e-09	4.06446e-08	0.18811	N/S
OG0002158	1.96187	3.2999e-08	4.06446e-08	0.81189	N/S
OG0002159	0.0381341	6.31089e-13	8.68679e-09	7.26493e-05	N/S
OG0002159	1.96187	8.68615e-09	8.68679e-09	0.999927	*
OG0002161	0.0381341	1.68133e-11	6.34008e-09	0.00265191	N/S
OG0002161	1.96187	6.32326e-09	6.34008e-09	0.997348	*
OG0002162	0.0381341	3.88274e-14	1.37877e-09	2.81609e-05	N/S
OG0002162	1.96187	1.37873e-09	1.37877e-09	0.999972	*
OG0002163	0.0381341	1.04525e-12	3.59833e-08	2.90481e-05	N/S
OG0002163	1.96187	3.59823e-08	3.59833e-08	0.999971	*
OG0002164	0.0381341	2.90501e-11	3.90479e-08	0.00074396	N/S
OG0002164	1.96187	3.90188e-08	3.90479e-08	0.999256	*
OG0002165	0.0381341	3.20949e-10	1.20866e-07	0.0026554	N/S
OG0002165	1.96187	1.20546e-07	1.20866e-07	0.997345	*
OG0002167	0.0381341	4.11303e-10	3.53884e-08	0.0116225	N/S
OG0002167	1.96187	3.49771e-08	3.53884e-08	0.988377	*
OG0002168	0.0381341	1.96145e-11	1.11859e-08	0.00175349	N/S
OG0002168	1.96187	1.11663e-08	1.11859e-08	0.998247	*
OG0002171	0.0381341	6.04758e-07	1.61551e-06	0.374346	N/S
OG0002171	1.96187	1.01075e-06	1.61551e-06	0.625654	N/S
OG0002172	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002172	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002174	0.0381341	5.73018e-11	5.26263e-08	0.00108884	N/S
OG0002174	1.96187	5.2569e-08	5.26263e-08	0.998911	*
OG0002175	0.0381341	1.0177e-09	2.6088e-08	0.0390104	N/S
OG0002175	1.96187	2.50703e-08	2.6088e-08	0.96099	*
OG0002176	0.0381341	2.72534e-09	7.86605e-08	0.0346469	N/S
OG0002176	1.96187	7.59351e-08	7.86605e-08	0.965353	*
OG0002177	0.0381341	8.77433e-06	1.14144e-05	0.768707	N/S
OG0002177	1.96187	2.64007e-06	1.14144e-05	0.231293	N/S
OG0002178	0.0381341	1.04727e-07	8.20987e-07	0.127563	N/S
OG0002178	1.96187	7.1626e-07	8.20987e-07	0.872437	N/S
OG0002179	0.0381341	8.6306e-09	5.94244e-08	0.145237	N/S
OG0002179	1.96187	5.07938e-08	5.94244e-08	0.854763	N/S
OG0002180	0.0381341	9.02461e-09	9.26525e-08	0.0974028	N/S
OG0002180	1.96187	8.36279e-08	9.26525e-08	0.902597	N/S
OG0002181	0.0381341	5.41826e-08	6.95541e-07	0.0779	N/S
OG0002181	1.96187	6.41358e-07	6.95541e-07	0.9221	N/S
OG0002182	0.0381341	4.5905e-08	3.05563e-07	0.150231	N/S
OG0002182	1.96187	2.59657e-07	3.05563e-07	0.849769	N/S
OG0002183	0.0381341	7.73556e-10	3.35193e-08	0.0230779	N/S
OG0002183	1.96187	3.27457e-08	3.35193e-08	0.976922	*
OG0002185	0.0381341	2.00412e-06	3.9374e-06	0.508996	N/S
OG0002185	1.96187	1.93328e-06	3.9374e-06	0.491004	N/S
OG0002186	0.0381341	7.62353e-14	2.0036e-09	3.80492e-05	N/S
OG0002186	1.96187	2.00352e-09	2.0036e-09	0.999962	*
OG0002187	0.0381341	3.53954e-08	4.69356e-07	0.0754127	N/S
OG0002187	1.96187	4.33961e-07	4.69356e-07	0.924587	N/S
OG0002188	0.0381341	8.02826e-08	8.45443e-07	0.0949593	N/S
OG0002188	1.96187	7.6516e-07	8.45443e-07	0.905041	N/S
OG0002189	0.0381341	9.02967e-10	4.19967e-08	0.0215009	N/S
OG0002189	1.96187	4.10938e-08	4.19967e-08	0.978499	*
OG0002190	0.0381341	1.34834e-07	1.81033e-06	0.0744804	N/S
OG0002190	1.96187	1.6755e-06	1.81033e-06	0.92552	N/S
OG0002191	0.0381341	2.10293e-09	1.97522e-07	0.0106466	N/S
OG0002191	1.96187	1.95419e-07	1.97522e-07	0.989353	*
OG0002192	0.0381341	1.34693e-10	6.94252e-09	0.0194012	N/S
OG0002192	1.96187	6.80783e-09	6.94252e-09	0.980599	*
OG0002194	0.0381341	2.81709e-10	1.31349e-07	0.00214474	N/S
OG0002194	1.96187	1.31067e-07	1.31349e-07	0.997855	*
OG0002195	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002195	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002196	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002196	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002197	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002197	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002198	0.0381341	7.49371e-10	6.88209e-08	0.0108887	N/S
OG0002198	1.96187	6.80715e-08	6.88209e-08	0.989111	*
OG0002199	0.0381341	4.06125e-23	7.01737e-12	5.78743e-12	N/S
OG0002199	1.96187	7.01737e-12	7.01737e-12	1	*
OG0002200	0.0381341	3.75623e-13	2.86735e-09	0.000131	N/S
OG0002200	1.96187	2.86697e-09	2.86735e-09	0.999869	*
OG0002201	0.0381341	3.7317e-11	2.59024e-08	0.00144068	N/S
OG0002201	1.96187	2.58651e-08	2.59024e-08	0.998559	*
OG0002202	0.0381341	1.18237e-23	2.62375e-11	4.50641e-13	N/S
OG0002202	1.96187	2.62375e-11	2.62375e-11	1	*
OG0002203	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002203	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002204	0.0381341	2.05678e-11	1.69787e-08	0.00121138	N/S
OG0002204	1.96187	1.69582e-08	1.69787e-08	0.998789	*
OG0002205	0.0381341	7.36026e-19	7.1437e-10	1.03031e-09	N/S
OG0002205	1.96187	7.1437e-10	7.1437e-10	1	*
OG0002206	0.0381341	1.92414e-24	7.08593e-14	2.71544e-11	N/S
OG0002206	1.96187	7.08593e-14	7.08593e-14	1	*
OG0002207	0.0381341	7.29962e-12	3.42981e-08	0.000212829	N/S
OG0002207	1.96187	3.42908e-08	3.42981e-08	0.999787	*
OG0002209	0.0381341	6.76556e-08	8.97096e-07	0.0754162	N/S
OG0002209	1.96187	8.29441e-07	8.97096e-07	0.924584	N/S
OG0002210	0.0381341	4.93845e-09	2.91419e-07	0.0169462	N/S
OG0002210	1.96187	2.8648e-07	2.91419e-07	0.983054	*
OG0002211	0.0381341	3.78743e-18	7.69898e-11	4.9194e-08	N/S
OG0002211	1.96187	7.69898e-11	7.69898e-11	1	*
OG0002212	0.0381341	2.50759e-11	4.29954e-09	0.00583222	N/S
OG0002212	1.96187	4.27446e-09	4.29954e-09	0.994168	*
OG0002215	0.0381341	1.53559e-09	2.26237e-07	0.00678751	N/S
OG0002215	1.96187	2.24701e-07	2.26237e-07	0.993212	*
OG0002216	0.0381341	3.40766e-12	4.91024e-09	0.00069399	N/S
OG0002216	1.96187	4.90683e-09	4.91024e-09	0.999306	*
OG0002217	0.0381341	8.96768e-12	2.53899e-08	0.000353198	N/S
OG0002217	1.96187	2.5381e-08	2.53899e-08	0.999647	*
OG0002218	0.0381341	1.06704e-09	3.60734e-08	0.0295797	N/S
OG0002218	1.96187	3.50064e-08	3.60734e-08	0.97042	*
OG0002219	0.0381341	1.06808e-08	2.37562e-07	0.0449601	N/S
OG0002219	1.96187	2.26881e-07	2.37562e-07	0.95504	*
OG0002220	0.0381341	7.46095e-10	4.34919e-08	0.0171548	N/S
OG0002220	1.96187	4.27458e-08	4.34919e-08	0.982845	*
OG0002221	0.0381341	3.84284e-09	2.57362e-07	0.0149316	N/S
OG0002221	1.96187	2.5352e-07	2.57362e-07	0.985068	*
OG0002222	0.0381341	3.84284e-09	2.57362e-07	0.0149316	N/S
OG0002222	1.96187	2.5352e-07	2.57362e-07	0.985068	*
OG0002223	0.0381341	3.53502e-10	1.02732e-07	0.003441	N/S
OG0002223	1.96187	1.02379e-07	1.02732e-07	0.996559	*
OG0002224	0.0381341	2.58415e-11	1.23302e-07	0.00020958	N/S
OG0002224	1.96187	1.23276e-07	1.23302e-07	0.99979	*
OG0002225	0.0381341	1.18473e-12	7.56959e-09	0.000156511	N/S
OG0002225	1.96187	7.5684e-09	7.56959e-09	0.999843	*
OG0002226	0.0381341	1.16318e-20	1.75681e-10	6.62098e-11	N/S
OG0002226	1.96187	1.75681e-10	1.75681e-10	1	*
OG0002227	0.0381341	5.95326e-13	7.91448e-09	7.52199e-05	N/S
OG0002227	1.96187	7.91389e-09	7.91448e-09	0.999925	*
OG0002228	0.0381341	4.98618e-08	5.17844e-07	0.0962873	N/S
OG0002228	1.96187	4.67983e-07	5.17844e-07	0.903713	N/S
OG0002229	0.0381341	1.57539e-11	9.10521e-09	0.00173021	N/S
OG0002229	1.96187	9.08946e-09	9.10521e-09	0.99827	*
OG0002230	0.0381341	4.56691e-13	5.95921e-09	7.66361e-05	N/S
OG0002230	1.96187	5.95875e-09	5.95921e-09	0.999923	*
OG0002231	0.0381341	4.99244e-12	1.78609e-08	0.000279517	N/S
OG0002231	1.96187	1.78559e-08	1.78609e-08	0.99972	*
OG0002232	0.0381341	1.35375e-10	4.49135e-08	0.00301412	N/S
OG0002232	1.96187	4.47782e-08	4.49135e-08	0.996986	*
OG0002233	0.0381341	1.20109e-09	3.62729e-07	0.00331125	N/S
OG0002233	1.96187	3.61528e-07	3.62729e-07	0.996689	*
OG0002236	0.0381341	1.807e-11	1.08829e-08	0.0016604	N/S
OG0002236	1.96187	1.08649e-08	1.08829e-08	0.99834	*
OG0002237	0.0381341	2.16382e-32	5.49762e-17	3.93593e-16	N/S
OG0002237	1.96187	5.49762e-17	5.49762e-17	1	*
OG0002238	0.0381341	1.13616e-17	6.24951e-11	1.81799e-07	N/S
OG0002238	1.96187	6.24951e-11	6.24951e-11	1	*
OG0002239	0.0381341	3.05833e-41	1.48416e-17	2.06065e-24	N/S
OG0002239	1.96187	1.48416e-17	1.48416e-17	1	*
OG0002240	0.0381341	1.60532e-33	5.06962e-14	3.16656e-20	N/S
OG0002240	1.96187	5.06962e-14	5.06962e-14	1	*
OG0002241	0.0381341	2.30915e-19	2.52834e-12	9.13307e-08	N/S
OG0002241	1.96187	2.52834e-12	2.52834e-12	1	*
OG0002242	0.0381341	1.94316e-42	5.50598e-18	3.52918e-25	N/S
OG0002242	1.96187	5.50598e-18	5.50598e-18	1	*
OG0002249	0.0381341	1.01289e-49	3.21551e-19	3.15002e-31	N/S
OG0002249	1.96187	3.21551e-19	3.21551e-19	1	*
OG0002250	0.0381341	3.52418e-54	4.34498e-25	8.11092e-30	N/S
OG0002250	1.96187	4.34498e-25	4.34498e-25	1	*
OG0002254	0.0381341	1.41345e-09	1.83162e-07	0.00771696	N/S
OG0002254	1.96187	1.81748e-07	1.83162e-07	0.992283	*
OG0002255	0.0381341	1.10181e-14	2.15877e-08	5.10388e-07	N/S
OG0002255	1.96187	2.15877e-08	2.15877e-08	0.999999	*
OG0002256	0.0381341	9.99342e-10	1.39168e-07	0.00718081	N/S
OG0002256	1.96187	1.38169e-07	1.39168e-07	0.992819	*
OG0002257	0.0381341	3.65298e-09	3.14513e-07	0.0116147	N/S
OG0002257	1.96187	3.1086e-07	3.14513e-07	0.988385	*
OG0002258	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002258	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002259	0.0381341	2.58194e-08	3.26301e-07	0.0791275	N/S
OG0002259	1.96187	3.00482e-07	3.26301e-07	0.920872	N/S
OG0002260	0.0381341	2.46635e-11	6.56469e-09	0.00375699	N/S
OG0002260	1.96187	6.54003e-09	6.56469e-09	0.996243	*
OG0002261	0.0381341	1.38984e-13	4.05572e-08	3.42687e-06	N/S
OG0002261	1.96187	4.0557e-08	4.05572e-08	0.999997	*
OG0002262	0.0381341	1.83636e-16	3.7274e-09	4.92665e-08	N/S
OG0002262	1.96187	3.7274e-09	3.7274e-09	1	*
OG0002263	0.0381341	8.08648e-20	1.69702e-10	4.76512e-10	N/S
OG0002263	1.96187	1.69702e-10	1.69702e-10	1	*
OG0002264	0.0381341	8.48896e-09	6.82573e-08	0.124367	N/S
OG0002264	1.96187	5.97684e-08	6.82573e-08	0.875633	N/S
OG0002266	0.0381341	1.43878e-10	9.11939e-08	0.00157772	N/S
OG0002266	1.96187	9.105e-08	9.11939e-08	0.998422	*
OG0002267	0.0381341	2.85434e-08	5.08363e-07	0.0561477	N/S
OG0002267	1.96187	4.7982e-07	5.08363e-07	0.943852	N/S
OG0002268	0.0381341	1.20366e-09	8.15182e-08	0.0147655	N/S
OG0002268	1.96187	8.03145e-08	8.15182e-08	0.985234	*
OG0002270	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002270	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002272	0.0381341	4.08198e-21	3.83363e-12	1.06478e-09	N/S
OG0002272	1.96187	3.83363e-12	3.83363e-12	1	*
OG0002274	0.0381341	4.02827e-10	3.51827e-08	0.0114496	N/S
OG0002274	1.96187	3.47799e-08	3.51827e-08	0.98855	*
OG0002275	0.0381341	6.04758e-07	1.61551e-06	0.374346	N/S
OG0002275	1.96187	1.01075e-06	1.61551e-06	0.625654	N/S
OG0002276	0.0381341	1.42273e-09	7.22955e-08	0.0196794	N/S
OG0002276	1.96187	7.08728e-08	7.22955e-08	0.980321	*
OG0002277	0.0381341	8.02826e-08	8.45443e-07	0.0949593	N/S
OG0002277	1.96187	7.6516e-07	8.45443e-07	0.905041	N/S
OG0002281	0.0381341	8.77433e-06	1.14144e-05	0.768707	N/S
OG0002281	1.96187	2.64007e-06	1.14144e-05	0.231293	N/S
OG0002282	0.0381341	1.06808e-08	2.37562e-07	0.0449601	N/S
OG0002282	1.96187	2.26881e-07	2.37562e-07	0.95504	*
OG0002283	0.0381341	1.84962e-09	1.62628e-07	0.0113734	N/S
OG0002283	1.96187	1.60778e-07	1.62628e-07	0.988627	*
OG0002284	0.0381341	4.51916e-14	2.52193e-09	1.79195e-05	N/S
OG0002284	1.96187	2.52188e-09	2.52193e-09	0.999982	*
OG0002285	0.0381341	2.00909e-13	2.96786e-09	6.7695e-05	N/S
OG0002285	1.96187	2.96766e-09	2.96786e-09	0.999932	*
OG0002286	0.0381341	3.85774e-12	1.01556e-08	0.000379863	N/S
OG0002286	1.96187	1.01518e-08	1.01556e-08	0.99962	*
OG0002287	0.0381341	2.09219e-15	1.02169e-09	2.04776e-06	N/S
OG0002287	1.96187	1.02169e-09	1.02169e-09	0.999998	*
OG0002288	0.0381341	2.73108e-10	2.66636e-07	0.00102427	N/S
OG0002288	1.96187	2.66363e-07	2.66636e-07	0.998976	*
OG0002289	0.0381341	1.53323e-09	1.23365e-07	0.0124284	N/S
OG0002289	1.96187	1.21832e-07	1.23365e-07	0.987572	*
OG0002290	0.0381341	1.0177e-09	2.6088e-08	0.0390104	N/S
OG0002290	1.96187	2.50703e-08	2.6088e-08	0.96099	*
OG0002291	0.0381341	7.40468e-06	1.33606e-05	0.554217	N/S
OG0002291	1.96187	5.95594e-06	1.33606e-05	0.445783	N/S
OG0002292	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002292	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002293	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002293	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002294	0.0381341	1.28842e-21	1.40015e-11	9.20196e-11	N/S
OG0002294	1.96187	1.40015e-11	1.40015e-11	1	*
OG0002295	0.0381341	0.0022882	0.00234	0.977863	*
OG0002295	1.96187	5.1801e-05	0.00234	0.0221372	N/S
OG0002296	0.0381341	1.28872e-10	5.46279e-08	0.00235909	N/S
OG0002296	1.96187	5.4499e-08	5.46279e-08	0.997641	*
OG0002297	0.0381341	1.10663e-07	6.40628e-07	0.172741	N/S
OG0002297	1.96187	5.29965e-07	6.40628e-07	0.827259	N/S
OG0002298	0.0381341	5.68051e-07	1.31051e-06	0.433456	N/S
OG0002298	1.96187	7.42463e-07	1.31051e-06	0.566544	N/S
OG0002299	0.0381341	0.0022882	0.00234	0.977863	*
OG0002299	1.96187	5.1801e-05	0.00234	0.0221372	N/S
OG0002300	0.0381341	1.02442e-08	2.05826e-07	0.0497712	N/S
OG0002300	1.96187	1.95582e-07	2.05826e-07	0.950229	*
OG0002301	0.0381341	2.34427e-09	1.23126e-07	0.0190396	N/S
OG0002301	1.96187	1.20782e-07	1.23126e-07	0.98096	*
OG0002302	0.0381341	1.54223e-09	1.188e-07	0.0129817	N/S
OG0002302	1.96187	1.17257e-07	1.188e-07	0.987018	*
OG0002303	0.0381341	9.97664e-12	4.44375e-08	0.000224509	N/S
OG0002303	1.96187	4.44276e-08	4.44375e-08	0.999775	*
OG0002304	0.0381341	6.04758e-07	1.61551e-06	0.374346	N/S
OG0002304	1.96187	1.01075e-06	1.61551e-06	0.625654	N/S
OG0002305	0.0381341	3.58263e-06	7.25304e-06	0.493949	N/S
OG0002305	1.96187	3.67041e-06	7.25304e-06	0.506051	N/S
OG0002306	0.0381341	3.00486e-13	3.91579e-09	7.67371e-05	N/S
OG0002306	1.96187	3.91549e-09	3.91579e-09	0.999923	*
OG0002307	0.0381341	1.64272e-07	2.6039e-06	0.063087	N/S
OG0002307	1.96187	2.43963e-06	2.6039e-06	0.936913	N/S
OG0002308	0.0381341	3.7195e-05	4.46118e-05	0.833749	N/S
OG0002308	1.96187	7.41676e-06	4.46118e-05	0.166251	N/S
OG0002309	0.0381341	4.60551e-08	3.79973e-07	0.121206	N/S
OG0002309	1.96187	3.33918e-07	3.79973e-07	0.878794	N/S
OG0002310	0.0381341	3.74427e-11	5.09189e-08	0.00073534	N/S
OG0002310	1.96187	5.08814e-08	5.09189e-08	0.999265	*
OG0002311	0.0381341	6.3274e-08	8.87166e-07	0.0713215	N/S
OG0002311	1.96187	8.23892e-07	8.87166e-07	0.928679	N/S
OG0002312	0.0381341	1.06808e-08	2.37562e-07	0.0449601	N/S
OG0002312	1.96187	2.26881e-07	2.37562e-07	0.95504	*
OG0002313	0.0381341	7.55224e-08	3.94806e-07	0.19129	N/S
OG0002313	1.96187	3.19284e-07	3.94806e-07	0.80871	N/S
OG0002314	0.0381341	1.22562e-13	5.69458e-09	2.15226e-05	N/S
OG0002314	1.96187	5.69446e-09	5.69458e-09	0.999978	*
OG0002315	0.0381341	8.05449e-08	9.9285e-07	0.0811249	N/S
OG0002315	1.96187	9.12305e-07	9.9285e-07	0.918875	N/S
OG0002316	0.0381341	1.15485e-07	8.06104e-07	0.143263	N/S
OG0002316	1.96187	6.90619e-07	8.06104e-07	0.856737	N/S
OG0002317	0.0381341	3.7195e-05	4.46118e-05	0.833749	N/S
OG0002317	1.96187	7.41676e-06	4.46118e-05	0.166251	N/S
OG0002318	0.0381341	9.947e-15	1.17999e-10	8.4297e-05	N/S
OG0002318	1.96187	1.17989e-10	1.17999e-10	0.999916	*
OG0002320	0.0381341	1.0791e-12	8.63526e-09	0.000124965	N/S
OG0002320	1.96187	8.63418e-09	8.63526e-09	0.999875	*
OG0002321	0.0381341	2.9437e-09	2.31681e-07	0.0127059	N/S
OG0002321	1.96187	2.28737e-07	2.31681e-07	0.987294	*
OG0002322	0.0381341	0.0022882	0.00234	0.977863	*
OG0002322	1.96187	5.1801e-05	0.00234	0.0221372	N/S
OG0002323	0.0381341	2.16061e-16	2.22143e-11	9.72621e-06	N/S
OG0002323	1.96187	2.22141e-11	2.22143e-11	0.99999	*
OG0002324	0.0381341	7.44664e-08	1.87255e-06	0.0397673	N/S
OG0002324	1.96187	1.79809e-06	1.87255e-06	0.960233	*
OG0002325	0.0381341	5.10303e-07	8.42545e-07	0.605669	N/S
OG0002325	1.96187	3.32242e-07	8.42545e-07	0.394331	N/S
OG0002326	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002326	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002327	0.0381341	1.61616e-06	3.75373e-06	0.430546	N/S
OG0002327	1.96187	2.13758e-06	3.75373e-06	0.569454	N/S
OG0002328	0.0381341	1.85554e-13	6.87759e-10	0.000269795	N/S
OG0002328	1.96187	6.87573e-10	6.87759e-10	0.99973	*
OG0002329	0.0381341	3.7195e-05	4.46118e-05	0.833749	N/S
OG0002329	1.96187	7.41676e-06	4.46118e-05	0.166251	N/S
OG0002330	0.0381341	8.29849e-09	6.11162e-08	0.135782	N/S
OG0002330	1.96187	5.28177e-08	6.11162e-08	0.864218	N/S
OG0002331	0.0381341	2.45047e-12	3.02863e-09	0.000809101	N/S
OG0002331	1.96187	3.02618e-09	3.02863e-09	0.999191	*
OG0002332	0.0381341	1.53862e-10	1.11559e-08	0.0137919	N/S
OG0002332	1.96187	1.10021e-08	1.11559e-08	0.986208	*
OG0002333	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002333	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002334	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002334	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002335	0.0381341	4.54568e-06	7.95444e-06	0.571464	N/S
OG0002335	1.96187	3.40876e-06	7.95444e-06	0.428536	N/S
OG0002336	0.0381341	2.34847e-11	1.31985e-07	0.000177935	N/S
OG0002336	1.96187	1.31961e-07	1.31985e-07	0.999822	*
OG0002337	0.0381341	1.5448e-28	2.47541e-15	6.24059e-14	N/S
OG0002337	1.96187	2.47541e-15	2.47541e-15	1	*
OG0002338	0.0381341	1.25425e-18	1.17898e-11	1.06384e-07	N/S
OG0002338	1.96187	1.17898e-11	1.17898e-11	1	*
OG0002339	0.0381341	6.04758e-07	1.61551e-06	0.374346	N/S
OG0002339	1.96187	1.01075e-06	1.61551e-06	0.625654	N/S
OG0002340	0.0381341	1.30872e-09	1.37181e-07	0.00954014	N/S
OG0002340	1.96187	1.35872e-07	1.37181e-07	0.99046	*
OG0002341	0.0381341	1.83636e-16	3.7274e-09	4.92665e-08	N/S
OG0002341	1.96187	3.7274e-09	3.7274e-09	1	*
OG0002342	0.0381341	5.41826e-08	6.95541e-07	0.0779	N/S
OG0002342	1.96187	6.41358e-07	6.95541e-07	0.9221	N/S
OG0002343	0.0381341	2.84467e-09	9.3798e-08	0.0303276	N/S
OG0002343	1.96187	9.09533e-08	9.3798e-08	0.969672	*
OG0002344	0.0381341	2.0693e-13	2.13658e-09	9.68512e-05	N/S
