#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000061	1.96187	9.05765e-46	9.05765e-46	1	*
OG0000062	0.0381341	6.34801e-89	3.37436e-31	1.88125e-58	N/S
OG0000062	1.96187	3.37436e-31	3.37436e-31	1	*
OG0000064	0.0381341	4.72603e-23	7.0881e-13	6.66755e-11	N/S
OG0000064	1.96187	7.0881e-13	7.0881e-13	1	*
OG0000066	0.0381341	1.16116e-64	7.10733e-25	1.63375e-40	N/S
OG0000066	1.96187	7.10733e-25	7.10733e-25	1	*
OG0000068	0.0381341	6.11322e-99	5.65755e-34	1.08054e-65	N/S
OG0000068	1.96187	5.65755e-34	5.65755e-34	1	*
OG0000069	0.0381341	1.71599e-54	9.89495e-21	1.73421e-34	N/S
OG0000069	1.96187	9.89495e-21	9.89495e-21	1	*
OG0000071	0.0381341	2.7504e-146	5.17694e-51	5.31278e-96	N/S
OG0000071	1.96187	5.17694e-51	5.17694e-51	1	*
OG0000072	0.0381341	3.20724e-171	1.78432e-64	1.79746e-107	N/S
OG0000072	1.96187	1.78432e-64	1.78432e-64	1	*
OG0000073	0.0381341	2.81397e-146	2.27083e-56	1.23918e-90	N/S
OG0000073	1.96187	2.27083e-56	2.27083e-56	1	*
OG0000075	0.0381341	9.94057e-98	2.64149e-34	3.76324e-64	N/S
OG0000075	1.96187	2.64149e-34	2.64149e-34	1	*
OG0000076	0.0381341	1.4734e-242	5.40109e-75	2.72796e-168	N/S
OG0000076	1.96187	5.40109e-75	5.40109e-75	1	*
OG0000077	0.0381341	3.90122e-62	9.21216e-25	4.23486e-38	N/S
OG0000077	1.96187	9.21216e-25	9.21216e-25	1	*
OG0000079	0.0381341	6.52915e-65	3.93169e-25	1.66065e-40	N/S
OG0000079	1.96187	3.93169e-25	3.93169e-25	1	*
OG0000081	0.0381341	1.99961e-66	1.68314e-23	1.18803e-43	N/S
OG0000081	1.96187	1.68314e-23	1.68314e-23	1	*
OG0000082	0.0381341	3.26508e-68	2.48847e-23	1.31208e-45	N/S
OG0000082	1.96187	2.48847e-23	2.48847e-23	1	*
OG0000083	0.0381341	3.77181e-44	7.29919e-18	5.16744e-27	N/S
OG0000083	1.96187	7.29919e-18	7.29919e-18	1	*
OG0000084	0.0381341	2.6403e-30	1.75589e-13	1.50369e-17	N/S
OG0000084	1.96187	1.75589e-13	1.75589e-13	1	*
OG0000086	0.0381341	1.003e-92	8.78195e-35	1.14212e-58	N/S
OG0000086	1.96187	8.78195e-35	8.78195e-35	1	*
OG0000087	0.0381341	1.99933e-64	4.9573e-23	4.03311e-42	N/S
OG0000087	1.96187	4.9573e-23	4.9573e-23	1	*
OG0000089	0.0381341	4.00424e-49	7.17264e-20	5.58266e-30	N/S
OG0000089	1.96187	7.17264e-20	7.17264e-20	1	*
OG0000090	0.0381341	1.6024e-206	2.50106e-66	6.40687e-141	N/S
OG0000090	1.96187	2.50106e-66	2.50106e-66	1	*
OG0000091	0.0381341	8.75884e-131	4.18895e-50	2.09094e-81	N/S
OG0000091	1.96187	4.18895e-50	4.18895e-50	1	*
OG0000092	0.0381341	2.65068e-194	6.65631e-65	3.9822e-130	N/S
OG0000092	1.96187	6.65631e-65	6.65631e-65	1	*
OG0000095	0.0381341	4.39107e-31	1.73506e-14	2.53079e-17	N/S
OG0000095	1.96187	1.73506e-14	1.73506e-14	1	*
OG0000097	0.0381341	1.29714e-69	2.23642e-28	5.8001e-42	N/S
OG0000097	1.96187	2.23642e-28	2.23642e-28	1	*
OG0000100	0.0381341	4.74724e-247	5.44542e-101	8.71786e-147	N/S
OG0000100	1.96187	5.44542e-101	5.44542e-101	1	*
OG0000101	0.0381341	5.31049e-127	3.02431e-49	1.75593e-78	N/S
OG0000101	1.96187	3.02431e-49	3.02431e-49	1	*
OG0000102	0.0381341	1.40139e-224	5.60647e-71	2.4996e-154	N/S
OG0000102	1.96187	5.60647e-71	5.60647e-71	1	*
OG0000103	0.0381341	1.80433e-82	2.74901e-27	6.56355e-56	N/S
OG0000103	1.96187	2.74901e-27	2.74901e-27	1	*
OG0000106	0.0381341	3.7758e-75	1.70387e-28	2.21602e-47	N/S
OG0000106	1.96187	1.70387e-28	1.70387e-28	1	*
OG0000107	0.0381341	3.95588e-63	1.56349e-22	2.53016e-41	N/S
OG0000107	1.96187	1.56349e-22	1.56349e-22	1	*
OG0000110	0.0381341	9.35617e-15	4.34158e-11	0.000215501	N/S
OG0000110	1.96187	4.34065e-11	4.34158e-11	0.999784	*
OG0000111	0.0381341	5.74879e-71	2.62212e-26	2.19242e-45	N/S
OG0000111	1.96187	2.62212e-26	2.62212e-26	1	*
OG0000113	0.0381341	1.28144e-153	4.37421e-53	2.92954e-101	N/S
OG0000113	1.96187	4.37421e-53	4.37421e-53	1	*
OG0000114	0.0381341	3.35852e-24	2.19852e-13	1.52763e-11	N/S
OG0000114	1.96187	2.19852e-13	2.19852e-13	1	*
OG0000116	0.0381341	7.6371e-51	1.42277e-20	5.36775e-31	N/S
OG0000116	1.96187	1.42277e-20	1.42277e-20	1	*
OG0000117	0.0381341	1.00822e-36	9.95734e-18	1.01254e-19	N/S
OG0000117	1.96187	9.95734e-18	9.95734e-18	1	*
OG0000120	0.0381341	2.60907e-47	1.644e-18	1.58702e-29	N/S
OG0000120	1.96187	1.644e-18	1.644e-18	1	*
OG0000121	0.0381341	1.0573e-56	9.6067e-24	1.10059e-33	N/S
OG0000121	1.96187	9.6067e-24	9.6067e-24	1	*
OG0000122	0.0381341	2.95489e-17	9.87094e-12	2.99353e-06	N/S
OG0000122	1.96187	9.87091e-12	9.87094e-12	0.999997	*
OG0000123	0.0381341	2.78243e-83	8.58529e-34	3.24092e-50	N/S
OG0000123	1.96187	8.58529e-34	8.58529e-34	1	*
OG0000125	0.0381341	8.2602e-65	2.18334e-23	3.78328e-42	N/S
OG0000125	1.96187	2.18334e-23	2.18334e-23	1	*
OG0000128	0.0381341	5.66086e-43	5.91665e-17	9.56767e-27	N/S
OG0000128	1.96187	5.91665e-17	5.91665e-17	1	*
OG0000129	0.0381341	1.17834e-50	2.03258e-19	5.79728e-32	N/S
OG0000129	1.96187	2.03258e-19	2.03258e-19	1	*
OG0000132	0.0381341	2.96654e-36	3.12224e-16	9.50133e-21	N/S
OG0000132	1.96187	3.12224e-16	3.12224e-16	1	*
OG0000133	0.0381341	1.49999e-38	7.07899e-18	2.11893e-21	N/S
OG0000133	1.96187	7.07899e-18	7.07899e-18	1	*
OG0000135	0.0381341	6.9185e-120	1.99075e-37	3.47533e-83	N/S
OG0000135	1.96187	1.99075e-37	1.99075e-37	1	*
OG0000137	0.0381341	1.83196e-57	1.01312e-22	1.80823e-35	N/S
OG0000137	1.96187	1.01312e-22	1.01312e-22	1	*
OG0000138	0.0381341	1.83137e-27	4.30941e-16	4.24971e-12	N/S
OG0000138	1.96187	4.30941e-16	4.30941e-16	1	*
OG0000139	0.0381341	1.1617e-06	1.16263e-06	0.999204	*
OG0000139	1.96187	9.25824e-10	1.16263e-06	0.00079632	N/S
OG0000141	0.0381341	3.75505e-39	6.10963e-19	6.14612e-21	N/S
OG0000141	1.96187	6.10963e-19	6.10963e-19	1	*
OG0000144	0.0381341	7.53385e-66	1.81754e-24	4.14508e-42	N/S
OG0000144	1.96187	1.81754e-24	1.81754e-24	1	*
OG0000145	0.0381341	1.28417e-32	3.85024e-16	3.33529e-17	N/S
OG0000145	1.96187	3.85024e-16	3.85024e-16	1	*
OG0000148	0.0381341	5.27045e-16	3.79808e-11	1.38766e-05	N/S
OG0000148	1.96187	3.79803e-11	3.79808e-11	0.999986	*
OG0000149	0.0381341	2.60504e-18	5.074e-12	5.1341e-07	N/S
OG0000149	1.96187	5.074e-12	5.074e-12	0.999999	*
OG0000151	0.0381341	8.76062e-72	2.61322e-24	3.35242e-48	N/S
OG0000151	1.96187	2.61322e-24	2.61322e-24	1	*
OG0000152	0.0381341	7.35952e-53	9.64006e-21	7.63431e-33	N/S
OG0000152	1.96187	9.64006e-21	9.64006e-21	1	*
OG0000153	0.0381341	3.26021e-64	6.02145e-24	5.41433e-41	N/S
OG0000153	1.96187	6.02145e-24	6.02145e-24	1	*
OG0000154	0.0381341	2.35073e-77	1.67671e-29	1.40199e-48	N/S
OG0000154	1.96187	1.67671e-29	1.67671e-29	1	*
OG0000155	0.0381341	2.04161e-91	4.27069e-30	4.78051e-62	N/S
OG0000155	1.96187	4.27069e-30	4.27069e-30	1	*
OG0000156	0.0381341	2.19829e-64	1.2736e-28	1.72604e-36	N/S
OG0000156	1.96187	1.2736e-28	1.2736e-28	1	*
OG0000157	0.0381341	6.89359e-51	5.40164e-21	1.2762e-30	N/S
OG0000157	1.96187	5.40164e-21	5.40164e-21	1	*
OG0000159	0.0381341	1.69179e-54	6.40922e-22	2.63962e-33	N/S
OG0000159	1.96187	6.40922e-22	6.40922e-22	1	*
OG0000160	0.0381341	4.09829e-48	3.15365e-21	1.29954e-27	N/S
OG0000160	1.96187	3.15365e-21	3.15365e-21	1	*
OG0000161	0.0381341	1.07183e-63	2.1181e-23	5.06035e-41	N/S
OG0000161	1.96187	2.1181e-23	2.1181e-23	1	*
OG0000162	0.0381341	4.64959e-23	7.90984e-12	5.87824e-12	N/S
OG0000162	1.96187	7.90984e-12	7.90984e-12	1	*
OG0000163	0.0381341	3.88679e-37	2.50139e-15	1.55385e-22	N/S
OG0000163	1.96187	2.50139e-15	2.50139e-15	1	*
OG0000166	0.0381341	3.22249e-47	2.46492e-20	1.30734e-27	N/S
OG0000166	1.96187	2.46492e-20	2.46492e-20	1	*
OG0000167	0.0381341	1.88834e-75	4.32577e-26	4.36533e-50	N/S
OG0000167	1.96187	4.32577e-26	4.32577e-26	1	*
OG0000168	0.0381341	2.21916e-50	6.17563e-20	3.59341e-31	N/S
