Family ID	0.0666241	1.93338	
OG0000000	1.57141e-62	1.98588e-22	
OG0000002	7.947e-82	3.60563e-31	
OG0000003	2.31186e-195	1.18619e-55	
OG0000005	6.54222e-264	8.20367e-79	
OG0000007	5.94842e-159	2.56205e-46	
OG0000008	9.82329e-183	2.63632e-55	
OG0000009	2.78522e-143	4.3886e-44	
OG0000010	1.66313e-62	2.37585e-20	
OG0000011	3.11166e-63	4.03117e-22	
OG0000015	1.66395e-39	6.49368e-19	
OG0000017	2.20514e-35	3.32452e-16	
OG0000018	3.38835e-133	7.19816e-41	
OG0000020	3.306e-86	8.04113e-29	
OG0000022	4.37267e-133	4.73043e-40	
OG0000024	1.81117e-134	1.184e-43	
OG0000026	2.55208e-33	3.11728e-16	
OG0000033	2.13229e-39	1.31203e-17	
OG0000034	5.7604e-35	5.0168e-16	
OG0000035	5.63809e-75	3.83811e-26	
OG0000036	1.02555e-95	6.88791e-30	
OG0000037	1.30215e-93	5.95403e-30	
OG0000040	7.74341e-32	2.66615e-15	
OG0000041	6.07407e-83	2.65518e-28	
OG0000042	1.42199e-129	1.38979e-38	
OG0000043	1.29719e-98	3.4309e-31	
OG0000045	6.06859e-135	4.55152e-38	
OG0000046	9.35748e-137	3.25329e-48	
OG0000049	1.41555e-50	3.16958e-22	
OG0000052	1.81132e-106	5.71685e-34	
OG0000054	2.86102e-41	8.49418e-19	
OG0000055	4.30875e-74	3.4541e-25	
OG0000057	2.14689e-158	4.82424e-56	
OG0000060	7.15636e-69	6.77074e-27	
OG0000061	1.17562e-40	4.22757e-19	
OG0000062	1.92613e-75	1.73918e-25	
OG0000063	9.703e-114	4.95217e-35	
OG0000065	2.0721e-53	3.59242e-20	
OG0000067	5.95448e-118	3.72597e-44	
OG0000068	3.26146e-75	8.66886e-27	
OG0000069	4.35697e-48	7.30784e-20	
OG0000070	1.49353e-187	9.76196e-51	
OG0000073	1.36509e-35	2.50243e-15	
OG0000075	4.76683e-98	2.33854e-34	
OG0000076	2.16721e-52	8.39746e-20	
OG0000077	1.0227e-35	4.27595e-16	
OG0000078	1.93927e-109	1.3637e-41	
OG0000081	5.56445e-69	2.04069e-24	
OG0000082	1.02626e-42	2.70917e-17	
OG0000083	8.63206e-166	3.99134e-47	
OG0000085	4.41681e-56	1.12982e-21	
OG0000086	3.73544e-26	9.86263e-14	
OG0000088	1.97307e-157	7.29987e-49	
OG0000089	6.18221e-66	1.36192e-25	
