FamilyID,PX439<0>,PX356<1>,CBRIG<2>,CNIGO<3>,PX506<4>,<5>,CSINI<6>,<7>,<8>,CLATE<9>,JU1373<10>,NIC58<11>,<12>,<13>,<14>,<15>,CINOP<16>,CELEG<17>,<18>,<19>,<20>
OG0000252,-3,1,-7,4,1,0,7,0,0,-2,0,0,1,0,-1,3,0,-2,0,-1,0
OG0000260,1,0,-1,1,-1,0,0,0,0,12,0,0,0,5,-1,0,-1,0,0,0,0
OG0000264,-1,0,-4,3,0,0,17,0,0,-1,0,0,8,-1,-1,2,-1,0,0,0,0
OG0000285,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,51,-5,-1,3,0
OG0000288,-2,0,0,0,1,0,5,-1,0,-1,0,-1,0,-1,-1,0,13,-3,0,1,0
OG0000293,1,-3,0,-1,5,0,1,-1,1,-3,0,0,0,0,0,0,18,-4,-1,1,0
OG0000294,0,0,-3,6,0,0,1,0,0,0,0,0,1,-2,-2,0,5,-1,0,0,0
OG0000313,2,0,-3,0,0,0,0,0,0,0,-2,0,0,-2,0,0,24,-4,0,1,0
OG0000326,3,0,-2,0,0,1,6,0,1,-1,0,0,0,0,-1,2,0,-1,0,-1,0
OG0000328,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,-1,0,13,-3,0,1,0
OG0000370,8,0,-2,1,-1,0,0,0,0,-1,0,-1,0,-1,-1,0,16,-3,0,1,0
OG0000388,0,0,0,0,0,0,-1,3,0,0,-1,0,0,-2,-1,0,29,-4,0,2,0
OG0000390,0,0,0,-1,0,0,13,-1,0,-2,0,0,1,0,0,0,2,-1,0,0,0
OG0000406,0,0,-1,0,0,0,1,0,0,0,0,-2,0,-2,-1,0,9,-2,0,2,0
OG0000411,0,4,-4,8,-1,0,1,0,0,-1,0,-1,2,0,0,0,0,-1,0,-1,0
OG0000420,0,-1,-2,0,0,-1,5,0,-1,5,-1,0,0,0,-1,2,-1,0,0,-1,0
OG0000451,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,18,-3,-1,1,0
OG0000489,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,17,-2,-1,2,0
OG0000509,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,18,-3,-1,0,0
OG0000525,0,0,-2,4,-1,0,0,0,-1,0,0,0,0,0,-1,0,15,-3,-1,0,0
OG0000558,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,28,-3,-1,1,0
OG0000582,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,27,-3,-1,1,0
OG0000658,-1,0,-2,9,1,0,1,0,0,0,0,0,2,0,0,1,-1,0,0,0,0
OG0000677,0,0,-4,13,0,0,1,0,0,0,-2,0,3,-2,0,0,-2,0,0,0,0
OG0000702,-1,0,-1,2,-1,0,-1,0,0,-1,0,0,0,0,-1,0,26,-3,-1,1,0
OG0000757,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,19,-2,-1,2,0
OG0000762,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,29,-3,-1,1,0
OG0000813,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,15,-2,0,1,0
OG0000826,-1,0,0,-1,0,0,15,-1,0,-1,0,0,1,0,-1,1,0,-1,0,0,0
OG0000855,-1,0,-1,11,1,0,-1,1,0,-1,0,0,0,0,-1,1,0,0,0,0,0
OG0000937,-1,0,-1,1,0,0,4,0,0,0,0,0,1,0,-1,0,4,-1,0,0,0
OG0000985,0,0,-1,0,0,0,14,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0
OG0000998,-1,0,-1,1,-1,0,1,0,0,-1,0,0,0,0,-1,0,17,-2,-1,0,0
OG0001030,-1,0,-1,0,-1,0,2,0,0,-1,0,0,0,0,-1,0,19,-3,-1,1,0
OG0001110,0,0,-1,0,0,0,9,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0
OG0001192,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,18,-2,-1,0,0
OG0001206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,0,0
OG0001299,0,0,-1,10,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001541,0,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0,1,0
OG0001558,0,0,-4,4,0,0,8,0,0,0,0,0,3,-1,-1,0,-1,0,0,0,0
OG0001657,8,0,-1,0,-2,0,-1,0,0,2,0,0,0,1,-1,0,2,-1,0,0,0
OG0001838,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,11,-1,-1,0,0
OG0001996,0,0,0,0,0,0,3,0,0,3,0,0,0,0,-1,0,2,-1,0,0,0
OG0002239,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,11,-2,0,0,0
OG0002240,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,10,-1,-1,0,0
OG0002242,0,0,-1,2,0,0,0,0,0,0,0,0,0,-1,0,0,11,-2,-1,0,0
OG0002249,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,16,-2,-1,0,0
