Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000104	0	0	0	0	0	0	1	0	0	88	0
null	OG0000105	0	0	0	0	0	0	11	0	0	78	0
null	OG0000106	0	0	0	0	0	0	0	88	0	0	0
null	OG0000107	6	6	8	7	8	7	7	8	7	6	4
null	OG0000108	11	12	7	4	9	8	2	7	1	4	9
null	OG0000109	0	1	5	3	5	5	1	1	16	14	14
null	OG0000110	1	1	10	10	12	7	1	0	1	10	11
null	OG0000111	4	4	5	6	8	3	12	9	2	12	8
null	OG0000112	8	12	4	3	5	0	9	11	3	3	12
null	OG0000113	0	1	3	3	30	1	1	0	0	1	16
null	OG0000114	0	0	2	5	0	0	0	4	0	7	19
null	OG0000115	6	5	7	5	8	5	6	8	7	4	8
null	OG0000116	7	5	4	13	2	4	0	1	0	11	5
null	OG0000117	6	6	9	8	9	1	7	1	1	6	4
null	OG0000118	6	1	0	0	0	0	0	0	13	17	27
null	OG0000119	3	3	3	4	16	1	0	0	1	0	6
null	OG0000120	1	1	13	10	10	9	4	3	0	7	7
null	OG0000121	1	2	1	13	4	7	3	0	0	8	15
null	OG0000122	0	0	24	9	14	8	0	0	0	0	0
null	OG0000123	5	5	5	1	7	4	11	6	3	7	11
null	OG0000124	5	5	1	4	6	6	8	7	2	6	10
null	OG0000125	5	6	2	3	2	4	9	0	0	36	10
null	OG0000126	2	3	10	13	10	15	0	1	0	3	10
null	OG0000127	7	7	4	2	6	1	7	7	4	3	15
null	OG0000128	7	5	7	7	15	12	3	0	0	6	2
null	OG0000129	1	1	14	16	18	13	0	0	0	0	1
null	OG0000130	11	9	6	5	8	3	3	5	2	4	9
null	OG0000131	6	6	8	8	6	6	6	7	10	6	2
null	OG0000132	3	3	10	13	6	8	1	3	0	11	7
null	OG0000133	41	39	0	0	0	0	0	0	0	0	0
null	OG0000134	0	0	0	18	1	0	0	0	0	0	36
null	OG0000135	0	0	0	1	0	1	7	0	0	71	1
null	OG0000136	5	8	8	7	6	8	2	5	3	7	7
null	OG0000137	8	8	5	12	8	11	0	0	0	10	7
null	OG0000138	6	7	8	7	8	5	3	7	7	0	7
null	OG0000139	3	5	1	4	3	2	11	8	5	10	11
null	OG0000140	1	0	5	7	9	6	5	0	1	10	27
null	OG0000141	0	0	0	0	0	0	4	0	0	77	0
null	OG0000142	0	0	0	0	0	0	0	0	81	0	0
null	OG0000143	4	4	4	1	4	2	14	14	1	9	10
null	OG0000144	25	29	3	3	5	1	0	0	1	0	6
null	OG0000145	5	5	5	4	4	4	8	8	5	12	8
null	OG0000146	4	4	9	9	11	9	3	2	4	3	8
null	OG0000147	2	2	4	6	5	12	3	3	20	5	7
null	OG0000148	2	3	1	2	3	2	2	8	6	19	9
null	OG0000149	8	5	3	0	14	4	4	3	0	6	9
null	OG0000150	7	9	3	1	3	2	6	15	0	7	12
null	OG0000151	1	1	3	18	25	2	0	0	0	0	0
null	OG0000152	0	0	1	1	1	1	7	0	0	58	6
null	OG0000153	10	12	2	1	2	1	5	17	0	3	13
null	OG0000154	8	9	7	6	7	7	5	7	4	5	0
null	OG0000155	0	1	7	5	5	6	1	0	44	0	2
null	OG0000156	0	0	7	8	7	9	4	0	0	19	8
null	OG0000157	30	38	0	0	0	0	0	0	0	0	0
null	OG0000158	1	0	10	10	10	6	2	5	3	10	2
null	OG0000159	2	1	4	1	10	1	8	0	0	5	16
null	OG0000160	0	0	0	0	0	0	19	0	0	41	15
null	OG0000161	8	7	3	5	4	4	3	12	3	3	6
null	OG0000162	7	8	9	7	7	13	1	3	0	1	6
null	OG0000163	4	4	6	6	6	3	10	7	0	8	7
null	OG0000164	0	0	0	0	0	0	0	0	0	0	74
null	OG0000165	4	4	9	7	6	7	4	9	3	5	4
null	OG0000166	2	3	13	11	9	6	6	1	1	7	3
null	OG0000167	5	5	7	7	5	6	6	7	7	5	3
null	OG0000168	2	2	5	5	2	2	1	1	6	12	7
null	OG0000169	8	9	5	5	5	5	1	9	0	6	9
null	OG0000170	2	3	14	7	13	9	1	0	0	5	5
null	OG0000171	0	44	4	3	2	3	0	0	5	4	1
null	OG0000172	0	0	9	7	2	9	0	0	0	5	16
null	OG0000173	0	0	10	13	1	3	0	2	0	6	13
null	OG0000174	4	4	6	6	7	5	3	1	0	9	15
null	OG0000175	6	6	5	2	6	4	7	7	0	9	6
null	OG0000176	5	4	8	4	6	9	5	4	4	6	4
null	OG0000177	7	7	2	8	3	3	6	3	11	1	5
null	OG0000178	3	4	3	2	4	2	9	11	0	7	13
null	OG0000179	6	6	6	5	6	5	2	7	8	1	6
null	OG0000180	3	3	2	1	3	2	6	31	0	1	8
null	OG0000181	2	1	4	24	9	15	0	0	0	2	0
null	OG0000182	1	3	10	9	6	5	4	6	3	9	1
null	OG0000183	4	4	3	8	9	21	6	0	1	0	0
null	OG0000184	2	5	3	5	9	2	0	1	7	2	3
null	OG0000185	1	1	3	5	7	7	8	0	0	26	4
null	OG0000186	9	13	1	1	1	1	0	0	15	3	10
null	OG0000187	7	5	5	11	4	5	2	4	3	5	8
null	OG0000188	6	5	7	6	9	8	4	9	1	2	0
null	OG0000189	5	5	6	5	5	6	5	6	7	5	6
null	OG0000190	4	1	8	3	6	5	6	10	1	8	7
null	OG0000191	5	4	3	2	2	1	0	0	18	11	5
null	OG0000192	0	0	12	13	13	7	0	0	0	0	3
null	OG0000193	0	0	11	4	11	6	1	0	0	17	5
null	OG0000194	1	6	8	6	15	5	1	0	1	9	5
null	OG0000195	2	2	8	7	10	6	1	1	0	5	11
null	OG0000196	4	4	2	9	9	5	5	6	1	9	6
null	OG0000197	2	2	0	0	1	0	0	0	18	10	14
null	OG0000198	3	3	2	4	1	1	1	0	29	6	4
null	OG0000199	0	0	0	0	0	0	0	0	0	0	69
null	OG0000200	3	3	5	6	5	5	4	2	3	5	10
null	OG0000201	5	5	4	4	4	4	5	3	11	5	4
null	OG0000202	6	5	4	3	3	1	6	7	2	7	8
null	OG0000203	3	3	2	2	2	2	11	5	4	20	4
null	OG0000204	4	2	7	5	6	0	2	7	2	17	4
null	OG0000205	0	0	5	5	15	4	0	0	0	0	0
null	OG0000206	0	0	6	5	5	5	4	2	0	11	21
null	OG0000207	7	7	5	3	5	2	5	6	1	6	8
null	OG0000208	6	5	4	4	5	4	8	2	0	6	6
null	OG0000209	2	4	7	6	6	5	5	5	3	2	8
null	OG0000210	3	3	8	9	8	10	5	0	0	9	4
null	OG0000211	4	4	7	6	5	5	5	5	2	3	4
null	OG0000212	0	0	11	14	13	14	0	1	0	0	1
null	OG0000213	0	0	4	12	12	14	3	0	0	4	3
null	OG0000214	4	3	7	9	7	8	3	2	2	5	3
null	OG0000215	7	7	4	2	6	3	4	6	3	4	5
null	OG0000216	1	1	7	7	5	9	2	0	4	10	6
null	OG0000217	32	32	0	0	0	1	0	0	0	0	0
null	OG0000218	6	6	5	5	5	5	5	5	6	5	2
null	OG0000219	3	4	3	3	4	3	8	10	1	7	9
null	OG0000220	4	4	7	6	7	6	4	3	3	3	7
null	OG0000221	1	1	12	5	10	7	2	2	0	4	4
null	OG0000222	3	3	7	5	9	4	6	1	0	7	7
null	OG0000223	0	0	13	13	10	9	0	0	0	2	3
null	OG0000224	0	0	19	4	12	6	0	0	0	3	1
null	OG0000225	0	0	9	11	22	9	0	0	0	0	0
null	OG0000226	0	0	2	10	15	0	1	0	0	1	2
null	OG0000227	2	2	2	1	4	1	2	0	2	3	29
null	OG0000228	5	7	9	9	7	7	2	3	0	3	5
null	OG0000229	5	4	9	7	5	6	5	1	1	7	7
null	OG0000230	1	0	10	4	6	3	3	0	0	11	16
null	OG0000231	30	34	0	0	0	0	0	0	0	0	0
null	OG0000232	2	2	4	2	2	2	1	1	0	4	40
null	OG0000233	7	2	1	11	4	4	0	0	2	0	15
null	OG0000234	1	1	11	9	14	8	1	1	3	1	1
null	OG0000235	2	2	5	4	4	6	5	1	1	14	7
null	OG0000236	1	1	9	22	0	2	0	0	0	7	6
null	OG0000237	0	2	5	15	6	6	0	3	2	7	6
null	OG0000238	0	0	0	0	0	0	8	0	0	55	0
null	OG0000239	0	0	0	0	0	0	1	0	0	62	0
null	OG0000240	2	2	7	3	7	4	0	0	2	11	14
null	OG0000241	4	4	5	5	2	5	5	6	1	6	6
null	OG0000242	3	3	3	3	4	0	6	10	0	2	14
null	OG0000243	5	5	5	6	3	3	4	0	3	4	12
null	OG0000244	7	6	7	8	8	5	2	1	1	3	8
null	OG0000245	5	4	2	1	6	1	1	8	1	7	7
null	OG0000246	3	3	8	9	13	9	0	1	0	1	6
null	OG0000247	0	0	6	12	17	3	0	0	0	2	11
null	OG0000248	0	0	7	6	22	8	0	1	0	0	0
null	OG0000249	29	33	0	0	0	0	0	0	0	0	0
null	OG0000250	3	4	4	7	20	4	0	0	0	1	2
