Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000105	3	4	1	0	1	35	3	0	0	0	1	16
null	OG0000106	3	2	2	10	7	15	5	4	3	0	7	10
null	OG0000107	8	5	4	6	8	10	1	13	3	2	5	14
null	OG0000108	0	0	0	0	0	0	0	12	0	0	78	0
null	OG0000109	2	1	2	4	5	20	10	3	0	0	5	3
null	OG0000110	6	7	5	8	8	7	6	7	6	8	7	6
null	OG0000111	6	6	3	7	7	7	6	6	19	0	2	11
null	OG0000112	0	0	0	41	47	0	0	0	0	0	0	0
null	OG0000113	0	0	0	6	1	0	4	0	0	13	17	31
null	OG0000114	7	5	5	6	5	8	10	6	8	7	4	8
null	OG0000115	0	0	0	0	0	0	1	0	86	0	0	0
null	OG0000116	7	4	8	11	12	9	3	2	7	1	3	9
null	OG0000117	7	6	7	8	9	7	5	9	9	4	8	0
null	OG0000118	13	17	12	1	1	17	8	1	0	0	0	2
null	OG0000119	7	8	12	2	1	10	1	2	0	0	6	26
null	OG0000120	4	6	3	4	4	8	4	12	9	2	12	8
null	OG0000121	10	12	8	4	5	6	11	1	3	0	11	7
null	OG0000122	7	7	7	6	6	8	6	7	8	7	6	3
null	OG0000123	2	5	0	0	0	0	10	0	4	0	7	17
null	OG0000124	1	13	7	1	2	4	12	3	0	0	8	15
null	OG0000125	3	3	0	8	12	5	8	9	11	3	4	12
null	OG0000126	2	3	4	5	6	2	3	9	0	0	36	10
null	OG0000128	6	5	3	11	9	8	9	3	5	2	4	9
null	OG0000129	7	8	3	10	11	7	8	3	2	0	6	11
null	OG0000130	0	18	0	0	0	1	0	0	0	0	0	36
null	OG0000131	0	0	0	42	40	0	1	0	0	0	0	0
null	OG0000132	10	10	9	1	1	10	10	4	2	0	8	7
null	OG0000133	8	8	8	6	6	8	2	9	6	1	11	1
null	OG0000134	4	17	4	1	0	26	0	0	0	0	0	0
null	OG0000135	6	5	6	0	1	5	0	1	4	45	0	3
null	OG0000136	0	1	1	0	0	0	2	7	0	0	70	1
null	OG0000137	3	2	1	7	7	6	10	7	7	3	3	15
null	OG0000138	7	6	5	7	7	8	9	3	7	7	0	7
null	OG0000139	6	6	5	6	6	6	8	6	6	6	6	7
null	OG0000140	5	7	2	9	7	1	11	0	0	0	12	4
null	OG0000141	0	4	6	5	5	6	13	7	7	2	6	10
null	OG0000142	0	0	0	0	0	0	0	4	0	0	77	0
null	OG0000144	4	1	2	4	4	4	2	14	14	1	9	10
null	OG0000145	6	7	7	5	8	6	10	1	6	3	6	8
null	OG0000148	7	7	7	5	5	6	6	6	7	7	6	3
null	OG0000149	6	6	6	6	6	6	6	6	7	10	6	2
null	OG0000150	2	1	1	0	0	1	0	7	0	0	58	7
null	OG0000151	4	6	12	2	2	5	0	3	3	20	5	7
null	OG0000152	5	4	2	8	8	5	4	6	15	0	8	5
null	OG0000153	3	1	2	7	9	3	9	6	15	0	7	12
null	OG0000154	1	2	2	1	2	3	18	2	8	6	19	10
null	OG0000155	0	0	0	30	37	0	9	0	1	0	0	0
null	OG0000156	2	14	3	3	3	9	3	4	3	3	10	5
null	OG0000157	4	10	5	4	4	10	2	5	7	1	9	7
null	OG0000158	7	26	14	1	1	10	1	0	0	0	2	0
null	OG0000159	8	8	10	1	1	6	6	2	0	4	11	7
null	OG0000160	5	12	6	7	5	5	4	3	4	2	9	8
null	OG0000161	3	2	2	4	5	5	7	5	13	5	2	16
null	OG0000162	8	8	6	5	7	9	5	4	2	3	4	5
